m = 72.36
t,x,y,r,θ,
0.000,34.08,14.68,37.10,23.3
0.017,34.18,14.46,37.11,22.9
0.033,34.31,14.10,37.09,22.3
0.050,34.47,13.65,37.07,21.6
0.067,34.67,13.08,37.05,20.7
0.083,34.89,12.42,37.04,19.6
0.100,35.16,11.65,37.04,18.3
0.117,35.41,10.78,37.02,16.9
0.133,35.67,9.820,37.00,15.4
0.150,35.93,8.766,36.98,13.7
0.167,36.17,7.654,36.98,11.9
0.184,36.39,6.465,36.96,10.1
0.200,36.58,5.225,36.95,8.1
0.217,36.73,3.943,36.94,6.1
0.234,36.83,2.625,36.93,4.1
0.250,36.88,1.289,36.90,2.0
0.267,36.90,-6.197E-2,36.90,-0.1
0.284,36.87,-1.394,36.90,-2.2
0.300,36.79,-2.714,36.89,-4.2
0.317,36.66,-4.003,36.88,-6.2
0.334,36.49,-5.242,36.86,-8.2
0.350,36.29,-6.429,36.86,-10.0
0.367,36.08,-7.563,36.86,-11.8
0.384,35.83,-8.611,36.85,-13.5
0.400,35.57,-9.592,36.84,-15.1
0.417,35.31,-10.48,36.83,-16.5
0.434,35.06,-11.29,36.83,-17.8
0.450,34.83,-11.99,36.84,-19.0
0.467,34.62,-12.59,36.84,-20.0
0.484,34.44,-13.08,36.84,-20.8
0.500,34.29,-13.47,36.84,-21.4
0.517,34.19,-13.76,36.85,-21.9
0.534,34.12,-13.92,36.85,-22.2
0.551,34.10,-13.99,36.86,-22.3
0.567,34.13,-13.93,36.86,-22.2
0.584,34.20,-13.79,36.87,-22.0
0.601,34.31,-13.52,36.88,-21.5
0.617,34.46,-13.15,36.88,-20.9
0.634,34.65,-12.67,36.89,-20.1
0.651,34.86,-12.07,36.89,-19.1
0.667,35.10,-11.37,36.90,-17.9
0.684,35.36,-10.57,36.90,-16.6
0.701,35.62,-9.689,36.92,-15.2
0.717,35.88,-8.714,36.92,-13.7
0.734,36.12,-7.644,36.92,-12.0
0.751,36.35,-6.514,36.93,-10.2
0.767,36.55,-5.319,36.93,-8.3
0.784,36.72,-4.069,36.94,-6.3
0.801,36.84,-2.772,36.94,-4.3
0.817,36.92,-1.447,36.95,-2.2
0.834,36.96,-0.110,36.96,-0.2
0.851,36.94,1.251,36.96,1.9
0.868,36.89,2.580,36.98,4.0
0.884,36.77,3.908,36.98,6.1
0.901,36.62,5.189,36.99,8.1
0.918,36.43,6.431,37.00,10.0
0.934,36.22,7.611,37.01,11.9
0.951,35.97,8.727,37.02,13.6
0.968,35.72,9.753,37.03,15.3
